,place,start_date,end_date,name,price,description_short,rating,url,description
0,Barcelona,2024-03-08,2024-03-17,H10 Casa Mimosa 4* Sup,"€ 2,501",,9.2,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=186920103_242553103_2_2_0&highlighted_blocks=186920103_242553103_2_2_0&matching_block_id=186920103_242553103_2_2_0&sr_pri_blocks=186920103_242553103_2_2_0__250110&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Housed in a 19th- century modernist building, just behind La Pedrera, H10 Casa Mimosa offers an impressive chill-out terrace with a plunge pool and a sun lounger area with privileged views of Casa Milà’s terrace.

All rooms are outward-facing, with both views over Pau Claris Street or over the courtyard garden which has Gaudí’s chimneys in the background. All have smart temperature control and high-quality amenities including a Nespresso Coffee Machine and a digital safe box. Some rooms also have spacious terraces.

The on-site El Til•ler Restaurant serves a delicious breakfast with a buffet consisting of natural products and a selection of à la carte dishes. The Lobby Bar also offers light meals and is also an excellent meeting point for a drink.

The beautiful garden retains some former cabins which are located in a courtyard that is typical of the Eixample district; and has a large variety of Mediterranean greenery such as a century-old palm tree, an impressive lime tree and mimosas, which give the hotel’s name. In the garden there is also an elevated swimming pool and a sun lounger area.

From here, there is access to the Las Cocheras meeting room, a former garage with high-ceilings and a capacity up to 100 people.

Ideally located, H10 Casa Mimosa is 10 minutes’ walk from Casa Battló; Plaza Catalunya and Ramblas can be reached within 15 minutes’ walk. There is free high-speed WiFi available throughout."
1,Barcelona,2024-03-08,2024-03-17,Sonder Casa Luz,"€ 1,674",,8.4,https://www.booking.com/hotel/es/casa-luz-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=596194816_233841452_2_2_0&highlighted_blocks=596194816_233841452_2_2_0&matching_block_id=596194816_233841452_2_2_0&sr_pri_blocks=596194816_233841452_2_2_0__167415&nad_id=03c98382-a600-4384-baad-aa3c9207b543_1&nad_cpc=0.66&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZ3b1prOGpUekNlbElyVjNtZmhKMS9CalZocThVSlVieXZJTDA3ZWJMMW84ay81eE1CR3hZYm10SU52bk5tYllxaXRSZEtzUUY1d1d1b3l6QTRqOXp4YU9oWllxY2I5S211cmhwTXBrQ01iYXV5dzNJbE1yZk1JRHo0V3VnTmlDNjhFTjdPbUxnd0l4SlQ2YlNTeU1oM0J6cTgrR2U2eUFCNG9tT2tSaVI4NHI2VVFMRm9OMzVISkdFa2p4N3lNWjZ3VHpWdG40VmZvbndORFMzODZqT2plVUxTeEsvR28zQzNudWJENHQzbnNsRUVSTkJxUFE4QTdMNlJIYUFiNjNReVo3QnBCR3JLaDFBV0pmR0oxVndVNHRZVlRLOFVEc2ZXV21RQytIY0QwZ2JISlBQOGZKbVo0cGh4dFZnQ2xUNmZIdVdBVWhTQU5DejBZdm13SmJuYmNzNFV0V3czazFuT2p2NFEydDBjTCtBbHBEcUdmazNhNWp3RXowaHZkM2d4RlhmNXBDL0cwODdEMUNQZEFld0ExMmg2VTBjTWYxTjZpeFVpeHhFR3FLYTc5YzR1a3dKR0tHZ3JRTE5HRjdQZS9jYkxZSFlodm40RDQ0ZEJFVThUOVlaSHNBMFFaaFdkcmlvUEczVy93UW5CZEhNRGNmTUtTQ1BqaU55L2t2VzhUaHlqWDd2UHZMVmhaNElOZUFmY0FPdFBMbVZoUUVXd1FPbldEV3hjQXh1djE1elhBSzF4bUxlb1ZpUzNtYTI1ZUh0SDlZZmJQandCVGt2MEsxRXBWbkFSbldYR3pTYW9qU3cvSTZqbDFDeEZ0TE14OE1PWkQyU1BmWEcrbVc0N1RpYnFsK3d1U0Zhbmw3UkdWeDdVcDFvVWdEL2c5bzREQ2k4aWFNWjEzeTZGOWl1YlpGRUN4N1NEK2lXMlhiYjgxdmFDSmFWR1RJOHppVnplR0gvcHVxYlJheTZyem4wditpSllwVnpyVTJLZ09tU3kzc2w4amhRN2wzZ0NDUFFsL1ZPemhzYjVIaXNKQUNMeFlFR1Z4cjM4SHREWHhxeGpaalRQS0pYdEh5K1pCSXBmYW9haDJLZkhURWVhSEg5M0hKVllWLzQ1K2hjM0U3V3lwcVVVVzVKR3R1L3NUdTJTUjRaNytCYjdaL2RLTUQ2cExidkM5aGZhSGhpVzJBNS8vUE85OW5BdjRJajBmTW9jbTdiWnlYV1VnZTQ1eTgrU2ZqUTFVWDJNRkl0TThpVEU3TmhQSy83a0VUUG83Nk12ZUNIejBDZk5aMzVDK0ZQUVFVVWpHc3lVSzJBMW5GK3V5ckhzZ2w3RDJhc0ZFQnpOa3FYK3Btc2NaMHNmYWQybEsxcVJ5TEx6ZmVtN3hEOXczR2hGbllaSHVOUXE2cmlhbTYxdU12NWJSUjlTRUFuWHlnTWlacWMrV3RCazN5L3N6ZTZINkY2MVhRK2ZuL1ZHRWZBeVhMSlJyKzh0eXQ0UXpmMzB1a00xRTZMRmZtYTlXOGRCZkhMbGwyaW4xLzZ1OEdYTU5ZVVBQeFphWTBQWFRCMFd3RHdteHNzME5KQW80REVpSGlqM3QwdndFK3NLN0J4c0tsRklCRlA2ODlYZ2J1NlpoSmNlVUpkWGxXV2FaVEd1S1VDTTRTQ3paQTU4b3lacTd6dXhFbm16TVR5T0dUTU5HMlcrTGl4MVFkd21PemJFVUdBQmpNb2MzTEx2bUlkMnVMWGhlRVJLODVHS3BNYy91OVcxOHJIayt3WTkweUovM2dEeGNtUi80aEpWTjI4aCtKN3pTcjlNaFZlVHVudFdGeUtEL3J0QmkrMFRnQnBSSVJjenJ0R2hLNGZWZjdhNE9FYXZvc0E0bEp1L3BjM2VIVWtNejN2eTYyUkw3Rnl5c2lQb3VvMUZsc0VoRDhtQWZZakNrSXFsSXgzSEN6eW9LQW51WjNyQ3k3NXRsQ1JIMmtvREhJZm45dTdlMzU0UjA1VTJvcS92SnN0YWxNNkt1NWVWWTIxMVZmZEp6VnVqOUpDVGZ1UW40OXNycTRPM2dPYkhvK05nTFBzNnVZVVlkVWprZitPc0pnOGZXZ0pHd3Q4Y3FHdnQ2cjFvdkxrZ3pZNnhLQ2pwcXdGbUpOVEM3M1hjWjBmaC9GVE94N0pXZit6MWF0VGpkUndUTFNOTVdSdk5QYm9qVmRaK0lpZUU0amFpMVNrd3U2bkNnYlJJSDNwWEs3eUcyRVkyZjRYZFVtUUwzWSsvMHhHbWNiRnUzM1BkVjJBSk5QQ3d2c1RIakZxaXBsWkJRYkxoSHBsNS81ZzlEaU4raFU4T1hVcGJlckk3WGZ4UWRkRGVpMTJLYkNyTFpZbFhXR2dFWS9qS2ZQekVlbVhHUk1GaGdpcGlkVGFyNG80L3c3eXk1dC9XYjdwcnBrakY4RFNQZVd4c0ZPMzlLaW9FL0kvaCt1bFJiL2tvNitRczFUWEE5RDRyRWZXMWVKNDVNY0lnN0w2REJreWxDWWJ6bEYyNVF3SENhT1hkbU42RVpnR2tXam9Ba1FqWVVMbDhWcnRtNmpJQm81K0ZMRjg3YlArVkVrU1o5M2g5MmorbXdZLzlJQ25uMm9VOFpQRWQ2T2t5YnNNYXRVR2poQ0J5aTBWQ2V3blQyTlE5Rzlqdis3ZUIxbS9XWk44clp6L1VBQ2djcUFYYkowbU5WcEEra1ZrNGFTSG5ubEx5NGRrc1laQVNpLzZ1Y1VlZFQ2elNRUnJ6U2xmbkVRZHR6OFpPbTJjcVFFWFB6NkZPNDJpblpnbExNUld1aDMzdDQ2elRlS21mWURRUnp4blRLbGk4cEZadzJtVHpXT1JvU05icHdwbkJ5UEVWdnJvblZwNm56V0JMalpQdVN5Qy9WS3VnZWh3R0liRDhLOVFYRkFKcEZrYmYxK2E0a1BnZWo5NENkUDhmclF4ZllXVGJ1Q1pxbmttWWxpaHFDUzVlZENPaGZwUWQ1NXRKRm10T1MwTlRVeFRpWVBlbTJ5NUI5Qi9IVlFEenY3Ti8vZ1BrVVJHMXZ5dEd1UkhHNXp0dUJsa2NUUjFlcmZQam43ZkF0MjYxMXVCNTZhUmpSKzgzNGpBUkJPOVdSOVI4NEE2aUlNa2cxTlFXOTVldFFNWm5HckFqVGxtU29FQVlsaU9oV2Ivb2FXb0NLbkVJdy9UVmJzbmhJczF5VjBoNStRazVSSXVVNkpIRGU2cldwWEJxK1BCNGhjazN5amlGajdid3d3VU5PWkxHM1ZZelBUNUJvSmd0WDhIYzg9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Barcelona, Sonder Casa Luz offers a terrace, breakfast and complimentary housekeeping. Guests can enjoy the near contemporary art museum MACBA, La Boqueria market and Rambla del Raval.

An on-site restaurant is also available.

Popular points of interest near the hotel include Passeig de Gracia, Casa Batllo and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Sonder l Casa Luz."
2,Barcelona,2024-03-08,2024-03-17,Barnapartments Basic Gracia,"€ 1,514",Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 55m²,7.9,https://www.booking.com/hotel/es/basic-gracia-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=70979501_280211587_2_0_0&highlighted_blocks=70979501_280211587_2_0_0&matching_block_id=70979501_280211587_2_0_0&sr_pri_blocks=70979501_280211587_2_0_0__151380&from=searchresults#hotelTmpl,"Located 5 minutes’ walk from Paseo de Gracia of a historic district of Barcelona, Barnapartments Basic Gracia features a balcony with a city view. Free WiFi is available in all areas.

This air-conditioned 2-bedroom apartment offers includes a double sofa bed, flat-screen TV and dining table in the living room. The kitchen features a toaster, microwave and washing machine.

Various bars and restaurants are 5 minutes’ walk from the property and Casa Batlló is a 10-minute walk away.

Diagonal Metro Station is within a 10-minute walk of the property. Airport shuttle can be organized upon request."
3,Barcelona,2024-03-08,2024-03-17,Sallés Hotel Pere IV,"€ 1,492",,8.1,https://www.booking.com/hotel/es/pereiv.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=9094311_354827576_0_0_0&highlighted_blocks=9094311_354827576_0_0_0&matching_block_id=9094311_354827576_0_0_0&sr_pri_blocks=9094311_354827576_0_0_0__149150&from=searchresults#hotelTmpl,"Pere IV is situated in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.

Each of the spacious rooms comes with a minibar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city centre, which can both be reached within 15 minutes."
4,Barcelona,2024-03-08,2024-03-17,The Streets Apartments Rambla,"€ 1,834",Entire studio • 1 bathroom • 1 kitchen • 40m²,9.3,https://www.booking.com/hotel/es/the-streets-apartments-rambla-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=997178904_372582803_2_0_0&highlighted_blocks=997178904_372582803_2_0_0&matching_block_id=997178904_372582803_2_0_0&sr_pri_blocks=997178904_372582803_2_0_0__183420&from=searchresults#hotelTmpl,"The Streets Apartments Rambla provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with a dishwasher, a microwave and a toaster. Featuring a lift, this property also provides guests with a sun terrace. When staying at the apartment, guests can use private entrance.

At the apartment complex, all units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All units are air conditioned and include a seating and/or dining area. The units include a wardrobe.

Sightseeing tours are available near the property.

Popular points of interest near The Streets Apartments Rambla include Sant Sebastian Beach, Sant Miquel Beach and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from the accommodation."
5,Barcelona,2024-03-08,2024-03-17,NH Sants Barcelona,"€ 1,488",,8.5,https://www.booking.com/hotel/es/nh-sants-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=9076202_265013181_0_2_0&highlighted_blocks=9076202_265013181_0_2_0&matching_block_id=9076202_265013181_0_2_0&sr_pri_blocks=9076202_265013181_0_2_0__148818&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located 400 metres from Sants Station in Barcelona, NH Sants Barcelona offers modern, air-conditioned rooms with free WiFi, flat-screen TV and private bathroom.

The hotel has a restaurant, serving fresh Mediterranean cuisine. There is also a relaxing café-bar. It also offers a healthy breakfast. The restaurant is closed during summer months.

The NH Sants Barcelona is set in a quiet area of Barcelona's Les Corts Financial District, but Barcelona city centre is within 15 minutes by Metro. Guests can reach FC Barcelona Football Stadium from Plaça del Centre Metro Station, which is 300 metres away."
6,Barcelona,2024-03-08,2024-03-17,Hotel Concordia Barcelona,"€ 1,579",,8.2,https://www.booking.com/hotel/es/concordia.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=9118502_158812557_0_2_0&highlighted_blocks=9118502_158812557_0_2_0&matching_block_id=9118502_158812557_0_2_0&sr_pri_blocks=9118502_158812557_0_2_0__157860&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Concordia Barcelona is situated 800 metres from Plaza España and the Fira de Barcelona Exhibition Centre. It features a sun terrace with an outdoor swimming pool, hot tub, cocktail bar and solarium.

The Hotel Concordia Barcelona’s bright, spacious rooms feature contemporary décor and air conditioning.  Each room includes free WiFi, a flat-screen TV, safe, minibar and a private bathroom with a range of amenities.

The Concordia Barcelona’s modern, elegant  Bistro Triple Sec Restaurant serves typical Mediterranean cuisine. The varied breakfast buffet includes healthy options. There is also a café and cocktail bar open daily. Private parking is available on site for an extra cost and electrical cars charging station is available.

Located next to Poble Sec Station, the hotel is a 5-minute Metro journey from Barcelona Port and La Rambla. You can also walk to the Rambla in 15 minutes. Direct airport buses stop in Plaza España, a 15-minute walk away.

Private parking is available on site for an extra cost."
7,Barcelona,2024-03-08,2024-03-17,Vincci Maritimo,"€ 1,817",,8.3,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=9117518_338644195_0_2_0&highlighted_blocks=9117518_338644195_0_2_0&matching_block_id=9117518_338644195_0_2_0&sr_pri_blocks=9117518_338644195_0_2_0__181705&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vincci Marítimo is located 10 minutes’ walk from Barcelona’s Diagonal Mar Shopping Centre and the CCIB Convention Centre. It offers bright, stylish rooms with flat-screen satellite TV and free Wi-Fi throughout.

The air-conditioned rooms at the Hotel Marítimo feature modern décor, with parquet floors and relaxing images of the sea. They come with a pillow menu and the private bathrooms contain a hairdryer. Rooms offer views of the charming Japanese Zen garden or Diagonal Mar Park.

The hotel’s Jardí de Mar Restaurant serves Mediterranean food using fresh ingredients. The hotel's breakfast includes products for celiacs. The Ikebana Lounge Bar offers snacks, tapas and cocktails which can be enjoyed on the terrace.

The hotel’s reception is open 24 hours a day, allowing you greater flexibility during your stay. Laundry and car rental services are also available from the front desk.

The Vincci Marítimo is just 500 metres from Mar Bella Beach. Selva de Mar Metro Station is 2 minutes’ walk from the hotel, connecting you with the city centre in 15 minutes."
8,Barcelona,2024-03-08,2024-03-17,The White Flats Les Corts,"€ 1,671",Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²,8.6,https://www.booking.com/hotel/es/the-white-flats.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=49933634_379482362_3_0_0&highlighted_blocks=49933634_379482362_3_0_0&matching_block_id=49933634_379482362_3_0_0&sr_pri_blocks=49933634_379482362_3_0_0__167138&from=searchresults#hotelTmpl,"Welcome to The White Flats Les Corts, an exceptional accommodation in the heart of the charming Les Corts neighborhood in Barcelona!

These exclusive 2 or 3-bedroom apartments have been meticulously designed to offer you an experience of maximum comfort and style. Every corner has been carefully decorated with a modern and sophisticated touch, creating a cozy atmosphere that will make you feel at home. Additionally, its spaces are fully equipped with all the necessary amenities to provide you with an ideal stay. From the fully equipped kitchen to the extremely comfortable beds to offer you an optimal experience.

Despite not being in the city center, its location is unbeatable. Just a 5-minute walk away, you will find the Les Corts metro stop, allowing you to easily explore all the wonders that Barcelona has to offer. And if you're a football enthusiast, you'll be delighted to know that we are very close to the iconic Camp Nou stadium, home of the legendary FC Barcelona. In the surroundings, you will discover a wide range of services and amenities that will enrich your experience. From supermarkets where you can stock up to high-quality restaurants, charming cafes, and many shops.

The White Flats Les Corts goal's is to provide you with a truly memorable experience during your visit to Barcelona. An attentive team will always be ready to assist you with anything you need, ensuring that every moment of your stay is exceptional. You are invited to enjoy this accommodation, where they will welcome you with open arms. The White Flats Les Corts look forward to hosting you!"
9,Barcelona,2024-03-08,2024-03-17,"The Hoxton, Poblenou","€ 1,593",,8.7,https://www.booking.com/hotel/es/the-hoxton-poblenou.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApD1ua0GwAIB0gIkN2Y0MjJkZDYtZTExMi00MjQ5LWE4YmUtNmQ5N2FlNmQwZTEx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=810565527d8807af&srepoch=1705933480&all_sr_blocks=9160024_352734472_0_2_0&highlighted_blocks=9160024_352734472_0_2_0&matching_block_id=9160024_352734472_0_2_0&sr_pri_blocks=9160024_352734472_0_2_0__159260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Barcelona, 1.7 km from Bogatell, The Hoxton, Poblenou provides accommodation with a restaurant, private parking, an outdoor swimming pool and a bar. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, room service and currency exchange for guests.

Guest rooms at the hotel come with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a shower, a hairdryer and free toiletries. The units will provide guests with a desk and a kettle.

Guests at The Hoxton, Poblenou can enjoy a à la carte breakfast.

Popular points of interest near the accommodation include Nova Icaria, Mar Bella and Sagrada Familia. The nearest airport is Barcelona El Prat Airport, 15 km from The Hoxton, Poblenou."
